no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,Assets_Sum
1,0,1,5400000,20700000,8,753,1,25300000
1,0,1,7800000,27200000,16,454,0,48000000
1,1,1,8200000,19100000,8,619,1,67500000
2,1,0,8900000,28500000,6,367,0,69600000
1,1,0,1400000,3100000,20,384,0,7400000
2,1,0,1700000,5900000,16,610,1,8400000
0,1,0,5300000,19500000,12,802,1,31500000
3,1,0,6500000,25200000,10,858,1,48400000
2,1,0,5900000,14000000,8,599,1,38700000
4,1,1,9800000,27000000,2,395,0,54400000
3,1,1,7700000,16200000,6,380,0,55500000
1,1,0,7900000,27100000,10,803,1,58600000
4,1,0,3500000,8900000,20,809,1,25500000
4,0,0,2400000,6600000,2,722,1,18000000
5,1,0,9900000,35700000,10,392,0,64400000
0,1,0,3900000,14500000,8,545,0,22600000
2,0,1,7300000,28500000,10,799,1,44700000
0,1,1,6400000,21900000,12,727,1,54800000
4,1,0,7100000,19800000,18,530,0,38500000
2,0,0,8800000,19000000,14,637,1,60800000
5,1,0,7400000,21000000,4,561,1,55400000
2,0,0,4400000,12000000,20,421,0,31100000
3,1,1,8600000,30300000,14,459,0,49000000
3,0,0,6900000,26000000,14,828,1,41100000
4,1,0,9600000,27500000,20,679,1,75000000
2,1,1,8100000,25700000,8,455,0,63100000
0,0,0,2600000,9400000,18,879,1,11600000
3,1,1,9300000,26100000,14,636,1,66900000
2,0,1,2100000,5600000,16,426,0,9000000
4,0,1,9000000,21500000,14,508,0,71300000
3,0,1,7000000,19200000,4,768,1,49200000
3,0,0,2200000,6400000,20,667,1,21400000
5,1,1,7500000,28200000,2,440,1,44400000
1,1,1,8300000,16800000,2,366,0,60400000
2,0,0,300000,600000,2,383,0,2400000
0,0,1,300000,800000,4,603,1,1800000
3,1,0,3900000,14900000,4,728,1,29100000
0,0,0,6600000,20300000,6,549,0,44600000
0,1,0,4100000,10700000,8,855,1,26500000
5,1,1,1800000,5300000,12,461,0,11500000
3,0,1,7000000,16100000,16,379,0,40200000
2,0,1,5100000,13700000,6,559,1,35400000
1,0,1,300000,600000,8,816,1,2200000
4,0,1,4300000,11400000,2,560,1,26100000
0,1,1,3200000,12000000,14,645,1,22100000
4,0,1,4200000,11500000,6,551,1,34500000
0,0,1,9600000,22900000,8,515,0,60100000
4,1,0,1300000,3600000,10,657,1,9100000
3,0,0,2400000,9300000,2,682,1,14200000
0,1,0,600000,1600000,10,588,1,3100000
5,1,1,9600000,38000000,10,359,0,63300000
0,1,0,400000,1200000,4,766,1,2700000
4,1,0,5900000,19900000,14,469,0,46300000
0,1,1,700000,1400000,10,618,1,3700000
0,0,1,8600000,17700000,20,711,1,60200000
0,1,1,9000000,34000000,4,549,1,43300000
3,1,1,5100000,20400000,6,754,1,23700000
4,0,1,500000,1500000,6,461,0,3700000
2,1,0,1600000,3800000,10,837,1,12000000
0,1,1,9800000,23900000,14,459,0,42700000
4,1,0,7800000,29700000,20,614,1,55800000
4,0,0,6500000,24000000,16,373,0,33000000
5,1,1,7500000,26500000,12,512,0,49100000
4,1,1,8900000,23400000,18,781,1,50300000
4,1,1,1800000,5800000,14,305,0,9500000
1,0,1,7600000,27800000,6,447,0,33000000
4,1,1,1200000,4600000,6,757,1,8400000
5,1,1,2700000,10400000,2,723,1,15200000
1,0,1,4600000,10900000,12,463,0,19900000
2,0,0,6900000,18700000,10,699,1,44900000
4,1,1,8400000,25200000,2,308,1,55600000
0,1,0,300000,500000,18,702,1,2000000
2,0,1,9500000,37500000,4,456,1,74000000
3,1,1,1900000,5900000,8,651,1,10500000
3,0,0,4200000,14500000,20,840,1,23900000
4,1,1,2200000,7900000,18,848,1,16900000
5,1,1,7100000,19700000,4,727,1,50000000
4,1,0,3500000,11600000,10,335,0,24100000
5,0,0,400000,800000,18,304,0,3200000
2,1,1,8800000,34400000,2,712,1,58200000
0,0,0,1800000,6600000,10,737,1,14500000
1,1,1,7600000,29300000,14,690,1,57000000
1,1,1,1000000,3200000,4,888,1,7000000
2,0,1,8200000,27200000,10,839,1,47100000
5,0,1,3600000,12400000,8,333,0,24500000
5,1,0,9400000,23700000,18,862,1,53000000
5,0,0,2600000,9100000,4,309,1,17100000
5,0,0,9500000,30700000,10,823,1,63400000
0,1,1,3500000,11700000,14,649,1,19600000
5,0,1,9800000,35700000,10,726,1,71500000
4,1,0,800000,3100000,18,712,1,4100000
0,0,0,9700000,37300000,20,701,1,62900000
3,1,0,6200000,21300000,12,655,1,42300000
1,0,1,4400000,16600000,18,385,0,24600000
2,1,0,1800000,3800000,4,777,1,13800000
3,1,0,1700000,5300000,14,696,1,6300000
3,1,0,3900000,14100000,16,496,0,21300000
2,1,1,2200000,7900000,6,659,1,16200000
3,0,1,6300000,17700000,2,542,0,39400000
2,0,0,2200000,8700000,18,729,1,16100000
1,1,0,8100000,28400000,6,744,1,60300000
4,0,0,6800000,17000000,2,749,1,58300000
0,1,0,4700000,14800000,20,755,1,36400000
3,1,1,2200000,5300000,2,506,0,11900000
3,1,1,3500000,13000000,6,391,0,27200000
1,0,1,3500000,11600000,10,898,1,19300000
5,0,0,500000,1500000,12,527,0,2000000
5,0,0,9900000,35800000,20,470,0,81700000
1,1,0,8400000,25000000,12,694,1,50900000
1,1,0,5000000,18800000,14,325,0,35900000
4,0,1,5500000,13400000,10,880,1,23800000
5,1,1,3000000,11900000,14,459,0,26700000
3,0,1,9400000,21400000,10,323,0,61500000
4,1,0,7600000,29000000,8,739,1,61100000
0,0,1,5500000,16300000,10,724,1,31500000
1,1,0,3100000,7400000,18,487,0,23300000
3,1,0,7700000,27700000,4,439,1,54700000
2,1,0,9800000,25400000,2,655,1,53700000
3,0,0,3200000,9200000,14,443,0,16100000
2,1,0,700000,2600000,20,489,0,3600000
4,0,1,3100000,8600000,14,427,0,20500000
0,1,1,4500000,10500000,20,417,0,27200000
5,0,1,8900000,24800000,18,842,1,49300000
3,0,0,5900000,23200000,2,307,1,52900000
2,0,0,1500000,4500000,18,428,0,12400000
4,0,1,6300000,15200000,16,415,0,45900000
3,0,1,6500000,18200000,20,405,0,41200000
4,1,0,8000000,31500000,18,683,1,57900000
1,1,1,3300000,10600000,14,742,1,13800000
4,0,0,3900000,10000000,10,530,0,25300000
3,1,0,1600000,3500000,10,844,1,13500000
2,0,1,3900000,13900000,18,715,1,22600000
3,1,1,8000000,26300000,12,476,0,53700000
2,1,0,2200000,4800000,6,721,1,11000000
4,0,0,7600000,30300000,12,339,0,56400000
5,0,1,2700000,6800000,6,461,0,16400000
2,1,1,6300000,23200000,12,556,1,44800000
3,0,0,7700000,18700000,8,483,0,55500000
2,1,0,4500000,17200000,18,406,0,27500000
2,1,1,9400000,24800000,14,513,0,87100000
0,0,0,4600000,12600000,16,574,1,28300000
0,1,1,5200000,15700000,6,692,1,29100000
5,1,1,8000000,29800000,18,867,1,63800000
1,0,1,9900000,38500000,2,875,1,49200000
4,1,1,8500000,18600000,10,597,1,52400000
2,1,1,4900000,12000000,20,513,0,45400000
3,1,1,7000000,24200000,2,354,1,49000000
2,0,0,9600000,25900000,18,647,1,68800000
1,1,0,9700000,23700000,6,875,1,74400000
1,1,0,6200000,14300000,20,819,1,40200000
4,0,1,4100000,9600000,10,521,0,38000000
0,1,1,6100000,19900000,20,761,1,28000000
0,1,0,700000,1900000,18,572,1,4700000
3,1,0,6400000,24100000,12,571,1,51200000
4,1,1,3800000,7800000,20,891,1,29200000
1,0,0,4900000,14800000,12,895,1,40300000
2,1,0,2100000,6600000,20,580,1,16200000
2,1,0,6200000,23400000,8,605,1,51800000
4,0,0,1600000,5100000,8,705,1,10200000
1,0,1,1300000,5000000,20,423,0,7200000
5,0,1,7300000,22500000,2,846,1,40500000
2,0,0,2100000,5000000,4,542,0,11000000
5,0,0,600000,2400000,18,631,1,3900000
4,1,0,7000000,24500000,18,318,0,25900000
1,0,1,3000000,6800000,10,541,0,25100000
1,1,0,900000,2900000,20,782,1,5800000
2,1,0,9600000,35000000,2,888,1,62800000
0,1,0,1500000,3600000,14,747,1,5800000
0,1,1,5000000,18900000,6,641,1,39100000
3,1,1,500000,1700000,4,640,1,2600000
4,0,0,7600000,28100000,12,324,0,52000000
4,1,0,5500000,21200000,20,359,0,34500000
0,0,1,6600000,23300000,12,338,0,31400000
0,1,0,1400000,3200000,14,384,0,9300000
5,0,1,8800000,26600000,16,545,0,73700000
5,0,0,6200000,24200000,18,610,1,45900000
2,1,1,8300000,27900000,18,840,1,44400000
3,0,0,2400000,8100000,6,630,1,19400000
1,1,0,9100000,31200000,4,508,1,63400000
0,0,1,9500000,34900000,4,535,1,54500000
1,1,0,1200000,3400000,20,717,1,8000000
2,1,1,7700000,19300000,8,735,1,37300000
5,1,1,7800000,22000000,20,528,0,44200000
0,1,1,9400000,20000000,4,350,0,46600000
0,0,0,1700000,5700000,12,422,0,11900000
5,1,0,4000000,13700000,6,496,0,20800000
4,0,0,4200000,15500000,18,794,1,23600000
2,1,0,2400000,7700000,6,719,1,16000000
3,0,1,2700000,6100000,14,630,1,19600000
3,0,1,600000,1800000,4,843,1,3800000
2,1,0,4600000,15600000,2,764,1,31000000
3,1,0,7200000,17700000,4,662,1,46200000
0,0,0,4700000,15500000,16,311,0,33200000
4,0,0,4300000,10100000,2,606,1,26100000
5,1,0,4700000,10200000,16,874,1,36600000
4,0,1,8700000,30000000,4,370,1,79900000
1,1,0,7000000,20500000,10,414,0,53000000
2,0,0,600000,1100000,10,800,1,4600000
1,0,0,6800000,16900000,12,779,1,51800000
1,0,0,6400000,14100000,20,553,1,39800000
4,0,0,7600000,29900000,18,445,0,42800000
3,0,0,9000000,21400000,8,496,0,68000000
0,1,1,2400000,5900000,10,650,1,16400000
3,0,0,6800000,17900000,6,783,1,58900000
5,1,1,3500000,13500000,10,535,0,24400000
4,1,1,8900000,34000000,20,415,0,63000000
0,0,0,6000000,15300000,8,709,1,30500000
3,0,0,700000,2500000,14,819,1,5600000
0,0,1,6800000,17300000,18,841,1,43800000
4,0,1,5300000,10700000,12,700,1,41100000
1,1,1,1400000,4200000,4,881,1,10400000
2,1,1,1400000,4600000,4,804,1,10000000
4,0,0,9200000,21700000,6,653,1,65300000
1,1,1,7900000,29200000,2,663,1,70400000
0,0,0,4500000,17500000,10,495,0,29700000
1,0,0,3800000,9800000,8,335,0,21200000
5,1,1,1500000,4900000,6,618,1,8500000
3,0,0,1200000,2400000,12,480,0,7900000
4,0,0,1700000,4900000,18,843,1,15000000
4,1,0,5200000,14100000,16,483,0,34500000
1,0,0,1600000,5100000,12,548,0,9300000
4,1,1,6600000,16000000,16,379,0,48300000
5,0,1,9400000,26600000,20,771,1,71400000
4,1,1,300000,500000,2,353,0,2300000
5,0,0,4600000,11500000,16,668,1,25300000
3,0,1,6100000,21300000,2,387,1,30600000
0,0,1,1500000,4100000,12,789,1,12300000
0,1,1,400000,900000,2,855,1,2100000
0,0,0,8700000,33600000,14,751,1,50600000
3,0,0,7000000,21600000,12,739,1,42100000
4,1,0,4700000,13100000,14,492,0,26000000
4,0,1,7600000,23800000,16,896,1,30000000
1,0,1,9200000,24500000,4,545,0,59600000
5,0,0,9400000,36800000,20,891,1,58700000
0,1,0,4800000,15100000,6,848,1,23900000
3,0,1,600000,2400000,12,884,1,3400000
3,1,1,4900000,14300000,14,439,0,38400000
3,1,1,3300000,8500000,12,586,1,24300000
3,1,1,9100000,18800000,20,308,0,50000000
5,1,0,6100000,23500000,16,300,0,28600000
3,1,1,8400000,19600000,2,741,1,48700000
4,1,0,7900000,31400000,8,698,1,61700000
2,0,1,6100000,22300000,10,733,1,44600000
3,0,1,2000000,4200000,16,571,1,12700000
3,1,1,9900000,29900000,20,490,0,54100000
2,0,0,9500000,25400000,16,451,0,67100000
4,1,1,1900000,6800000,6,559,1,13200000
4,1,1,6900000,21400000,10,577,1,35900000
2,0,1,1500000,5000000,4,613,1,13000000
4,0,0,1900000,3800000,20,785,1,9200000
0,1,1,2300000,6000000,8,690,1,16400000
2,0,0,7800000,17100000,14,351,0,52600000
4,0,0,400000,1000000,10,447,0,1500000
0,1,1,9400000,19200000,20,708,1,74100000
2,1,0,9100000,21700000,12,549,0,83400000
1,1,1,9000000,18800000,8,797,1,43900000
4,0,0,7100000,14300000,14,537,0,48400000
3,1,0,800000,2500000,12,828,1,3900000
0,1,1,4500000,9600000,14,471,0,25500000
5,1,0,8500000,25400000,4,336,0,49300000
3,0,1,2500000,9800000,16,424,0,15000000
2,1,0,1500000,3300000,18,440,0,7900000
0,0,0,6200000,17300000,8,583,1,24500000
1,0,1,1300000,2900000,6,480,0,7500000
5,0,0,6600000,25800000,10,670,1,40900000
0,1,1,5300000,13700000,6,329,0,30400000
5,0,0,1400000,3000000,6,754,1,12900000
2,0,1,2900000,7800000,18,588,1,16300000
3,0,0,6500000,16500000,4,551,1,32200000
3,1,0,8300000,18900000,4,316,0,59400000
2,0,1,8900000,32200000,12,382,0,37200000
3,1,0,5300000,15000000,6,717,1,33500000
0,1,0,2800000,7300000,6,676,1,14600000
1,0,0,8000000,27800000,6,667,1,51000000
3,0,0,3900000,10500000,20,821,1,22800000
0,1,0,6200000,20100000,20,345,0,36700000
3,0,1,5900000,19200000,10,442,0,33000000
1,1,1,6000000,23300000,12,672,1,39300000
3,0,1,9100000,29300000,2,508,1,67600000
5,1,1,3400000,12300000,10,615,1,23500000
1,1,1,1800000,4400000,8,689,1,11100000
1,1,0,300000,1200000,18,747,0,1000000
1,1,1,9000000,22800000,10,412,0,52300000
1,1,0,6400000,16900000,2,703,1,36900000
5,0,0,5800000,22200000,16,884,1,34000000
5,1,1,2600000,8600000,18,651,1,11500000
4,0,0,6600000,17300000,14,793,1,39500000
2,0,0,6100000,21800000,4,407,1,35900000
2,0,0,4100000,11100000,8,390,0,17400000
3,0,1,300000,1000000,12,469,0,2000000
4,1,0,4700000,10400000,6,373,0,35100000
4,1,1,1500000,5800000,2,304,1,8700000
5,0,0,2700000,8300000,8,833,1,16000000
2,1,0,6900000,20900000,2,302,1,65500000
0,1,0,7600000,28700000,6,397,0,52600000
1,1,0,4100000,10000000,6,891,1,21400000
3,0,0,4100000,12200000,2,457,0,20200000
4,0,0,1600000,3200000,16,657,1,7200000
2,0,1,400000,1400000,2,480,1,2700000
5,1,1,4400000,17300000,20,840,1,23900000
2,0,1,3800000,8000000,12,866,1,16900000
0,0,0,4300000,17000000,8,619,1,31700000
1,1,1,9000000,33500000,2,748,1,54900000
3,0,1,9500000,25500000,12,881,1,71600000
2,1,1,6900000,13900000,8,829,1,49400000
3,0,0,4300000,11100000,6,312,0,22000000
3,0,0,6600000,21400000,10,467,0,46700000
1,1,1,5200000,14300000,18,650,1,28900000
3,1,1,400000,1100000,6,711,1,1900000
4,0,0,1300000,4100000,18,886,1,7700000
5,0,0,9700000,28400000,4,494,0,51700000
2,1,1,5400000,10900000,14,741,1,33300000
4,0,0,1200000,3300000,12,876,1,5300000
0,1,1,7000000,26400000,14,610,1,33500000
5,1,0,7600000,26000000,6,778,1,51700000
5,1,1,700000,1800000,14,571,1,2900000
3,1,1,7500000,25100000,18,554,1,53600000
0,0,1,2300000,6200000,8,712,1,18800000
5,0,1,5600000,11500000,4,695,1,36100000
0,0,1,5400000,10900000,20,366,0,30000000
1,0,1,1800000,5500000,10,426,0,14000000
0,0,0,2900000,6900000,10,320,0,14800000
3,0,1,1400000,4600000,8,543,0,7400000
2,1,0,2800000,11000000,16,525,0,18200000
0,0,1,3300000,13100000,12,812,1,21500000
0,0,0,7000000,25300000,14,697,1,46500000
1,0,0,3900000,15100000,12,527,0,30600000
1,0,0,5700000,17200000,4,512,1,35700000
0,1,0,4100000,9200000,4,671,1,25000000
1,1,1,2200000,8700000,20,539,0,15800000
5,0,0,2200000,7200000,10,532,0,12100000
3,0,1,2500000,7700000,16,485,0,14400000
0,0,1,900000,2100000,6,521,0,4600000
1,0,0,2900000,7400000,10,874,1,15000000
2,0,0,9800000,22900000,10,788,1,52800000
2,0,0,5200000,14800000,12,659,1,38900000
1,1,1,8600000,19600000,16,498,0,44100000
2,1,1,4800000,13200000,20,310,0,33500000
0,1,0,2000000,4700000,6,785,1,13100000
0,1,0,3600000,8700000,10,309,0,19200000
3,0,1,5300000,19600000,2,433,1,38400000
1,0,1,400000,1300000,18,801,1,2200000
3,1,1,6500000,22400000,6,488,0,57000000
0,0,1,2300000,6000000,16,756,1,13700000
3,1,0,1000000,2800000,4,757,1,7300000
5,0,0,3200000,10100000,6,828,1,26200000
3,1,1,3400000,7200000,12,733,1,17800000
0,0,0,9600000,38200000,8,421,0,63100000
3,0,0,5300000,20300000,4,872,1,37600000
3,1,0,4700000,17400000,10,393,0,41700000
3,1,0,9700000,37800000,12,700,1,57200000
5,1,0,8800000,21600000,18,613,1,65900000
5,1,0,5900000,13400000,6,455,0,42900000
4,1,1,2400000,7100000,16,871,1,19300000
4,1,1,7900000,21500000,16,497,0,38200000
0,1,0,1400000,2700000,2,649,1,10200000
0,1,1,3500000,10000000,14,709,1,21300000
4,1,0,3400000,13500000,12,705,1,24300000
2,1,0,6100000,23600000,2,476,1,33800000
2,0,1,3000000,7100000,4,819,1,18300000
5,0,1,3400000,9400000,16,535,0,24800000
0,1,1,400000,1200000,14,889,1,2200000
0,1,0,5900000,11800000,12,468,0,42800000
5,1,1,400000,800000,2,759,1,2200000
3,1,1,9000000,33600000,2,426,1,70400000
0,1,1,8800000,23600000,8,712,1,42100000
4,1,1,2000000,4700000,2,615,1,10300000
2,1,0,4700000,14000000,12,784,1,37800000
4,0,0,2700000,6100000,16,677,1,13700000
1,0,0,2600000,7900000,12,306,0,15300000
1,0,1,9000000,25400000,16,655,1,67100000
4,0,0,5100000,19400000,8,755,1,22700000
2,1,0,6600000,25800000,18,598,1,29200000
2,1,0,4400000,9800000,18,712,1,20800000
4,0,1,1500000,4600000,6,524,0,12100000
1,0,0,6200000,23100000,16,838,1,41000000
4,1,1,900000,2900000,6,560,1,6400000
3,0,0,7700000,26400000,12,759,1,39000000
2,1,1,600000,2400000,6,454,0,3300000
4,0,0,4300000,16500000,4,539,1,28100000
2,0,1,8200000,27800000,16,827,1,56900000
0,0,0,3500000,11900000,12,686,1,21800000
1,1,1,9900000,34100000,14,371,0,67000000
5,1,0,700000,1900000,4,784,1,4200000
1,1,1,2100000,7300000,16,826,1,14200000
2,0,0,3200000,10500000,12,502,0,20300000
0,1,0,2900000,7800000,8,367,0,15700000
0,0,0,7000000,18300000,6,541,0,41800000
1,1,0,3700000,13600000,16,608,1,18800000
3,0,1,4500000,13100000,12,570,1,28400000
3,1,0,200000,800000,18,752,1,900000
5,0,1,5600000,20500000,8,873,1,42200000
5,1,0,5400000,18600000,2,538,1,33200000
4,0,0,300000,1000000,10,819,1,2100000
1,1,1,7500000,29800000,18,770,1,43300000
5,0,1,2500000,9600000,6,345,0,13200000
4,1,1,3100000,8100000,12,730,1,24300000
1,1,1,7600000,19300000,20,835,1,38300000
3,0,1,500000,1700000,2,811,1,2600000
2,0,0,2700000,5900000,14,662,1,15900000
2,0,1,3500000,13300000,4,420,1,18400000
5,0,0,3700000,11700000,4,413,1,28600000
2,0,1,5600000,20000000,10,367,0,43800000
5,0,1,4800000,16400000,14,390,0,24300000
4,0,1,5200000,12200000,2,602,1,39300000
3,1,0,2900000,11500000,16,843,1,19900000
1,1,0,2700000,6800000,20,713,1,11800000
3,1,0,5000000,16200000,8,591,1,24300000
2,0,1,2700000,9400000,14,701,1,15600000
4,0,1,2800000,10000000,12,655,1,20300000
3,0,1,7300000,20000000,18,720,1,58200000
0,1,1,5900000,15100000,10,794,1,30600000
0,1,0,8100000,21300000,2,392,0,63300000
3,1,1,1900000,7100000,6,583,1,11700000
5,1,0,1800000,6800000,18,457,0,8500000
0,0,1,7600000,17800000,14,570,1,58700000
1,1,0,9100000,30100000,14,890,1,70200000
2,0,1,5300000,12300000,14,472,0,35300000
2,0,0,3700000,10900000,12,788,1,17200000
0,0,0,9500000,35300000,6,605,1,60800000
3,1,0,8300000,30500000,10,473,0,57800000
5,1,0,6400000,21500000,16,728,1,32500000
5,1,1,5300000,17800000,16,505,0,36400000
0,1,1,5600000,19300000,6,407,0,29600000
1,1,1,900000,1700000,18,464,0,3900000
0,1,1,2400000,7200000,20,514,0,14700000
1,1,0,9500000,23000000,10,627,1,70800000
2,0,1,7400000,14900000,20,627,1,55300000
4,0,1,1500000,3200000,10,858,1,7900000
3,1,1,8800000,30200000,8,607,1,53700000
5,0,1,4900000,14300000,4,663,1,39700000
1,0,1,8100000,26900000,6,522,0,48000000
2,0,1,2300000,9100000,20,610,1,15500000
5,0,1,3000000,6600000,16,462,0,21700000
2,0,1,3900000,9300000,8,591,1,26500000
4,1,1,1700000,6500000,20,636,1,11100000
0,0,1,2100000,4900000,10,359,0,8900000
4,1,1,9700000,25000000,4,542,0,64500000
5,0,1,3500000,11800000,4,642,1,20700000
5,0,1,1500000,5500000,4,414,1,6300000
3,0,1,8800000,26200000,20,865,1,69300000
3,1,0,900000,3100000,10,369,0,3700000
0,1,1,3500000,10800000,14,838,1,27100000
5,0,0,5500000,21200000,4,582,1,40600000
5,0,1,9800000,23200000,10,416,0,58400000
5,1,0,2100000,5500000,20,705,1,12600000
0,1,0,1800000,5700000,18,306,0,8500000
5,1,1,5800000,13000000,8,851,1,37200000
5,1,0,6700000,17200000,18,613,1,48200000
3,1,0,4300000,16300000,10,366,0,31400000
1,1,0,1200000,2800000,12,431,0,5100000
5,0,1,9700000,25900000,2,754,1,54200000
5,1,1,5400000,11200000,10,447,0,35600000
1,0,1,5300000,14100000,14,510,0,50400000
1,1,0,7300000,24200000,20,324,0,44000000
5,1,0,9500000,19200000,2,523,0,42700000
0,0,1,7200000,15600000,2,362,0,31800000
3,1,1,9000000,32900000,6,657,1,51700000
5,0,0,6500000,23300000,12,790,1,35300000
1,1,1,9500000,30500000,18,500,0,30600000
2,0,1,9900000,33200000,4,465,1,72700000
4,0,0,2900000,8700000,6,409,0,19600000
4,1,1,700000,1800000,20,626,1,2800000
5,0,0,4200000,13400000,16,545,0,34000000
3,0,0,4200000,11400000,10,654,1,31100000
0,0,0,7600000,26500000,6,515,0,47100000
2,1,1,7100000,18800000,12,838,1,27800000
1,0,1,4700000,16000000,14,406,0,26900000
0,1,1,9800000,23200000,10,573,1,65400000
0,1,1,9800000,38700000,2,611,1,56000000
0,0,0,5100000,13400000,16,649,1,28000000
0,0,1,3300000,7700000,12,775,1,21900000
3,1,0,4500000,12500000,12,469,0,29300000
0,1,1,3900000,12800000,18,587,1,27400000
3,1,1,3200000,9900000,10,316,0,27000000
2,1,0,3200000,10400000,10,556,1,29800000
2,0,0,9600000,31200000,12,578,1,52100000
2,0,1,8700000,18900000,2,554,1,35300000
2,0,1,1900000,6800000,6,892,1,12100000
2,0,1,2900000,10200000,10,315,0,16600000
0,0,0,6200000,12900000,10,695,1,32000000
0,0,0,5900000,20300000,4,806,1,25200000
4,0,1,3200000,12800000,8,638,1,18700000
1,0,1,1300000,5000000,4,610,1,9600000
2,0,1,1300000,3200000,4,810,1,11000000
1,1,0,8700000,33200000,4,866,1,69700000
3,0,0,6300000,23800000,10,760,1,41200000
3,1,0,4300000,11200000,6,556,1,34900000
3,0,1,6400000,23500000,12,684,1,60200000
5,0,1,7700000,25800000,18,578,1,50500000
2,0,0,6900000,23900000,12,814,1,47500000
0,0,0,4200000,14800000,20,510,0,29400000
4,0,0,3900000,9000000,2,674,1,31500000
0,1,1,2000000,4900000,14,570,1,12000000
1,0,0,500000,1700000,2,680,1,3600000
0,1,0,3500000,8800000,12,803,1,17500000
2,0,1,3100000,10700000,16,357,0,22600000
3,0,1,4900000,19000000,4,575,1,44300000
1,0,0,1000000,3600000,4,546,1,5600000
2,1,0,6700000,21400000,8,370,0,43700000
1,1,0,4100000,9400000,6,713,1,15200000
4,0,1,1600000,3800000,2,896,1,8400000
3,1,1,2400000,9200000,14,626,1,14400000
0,1,0,2200000,6400000,4,854,1,10300000
4,1,0,3200000,8400000,18,802,1,14200000
4,0,1,1600000,4400000,20,382,0,9100000
2,0,0,3900000,14900000,6,415,0,20600000
5,1,1,2000000,6300000,4,366,1,15700000
1,1,1,7600000,25400000,10,595,1,44200000
1,0,0,9800000,21300000,2,356,0,75600000
5,0,0,7900000,29900000,6,568,1,44300000
1,1,0,1600000,4000000,10,615,1,11800000
1,1,1,6400000,13900000,12,313,0,48400000
1,1,1,6400000,17900000,6,575,1,42600000
4,1,0,1600000,5500000,10,577,1,7100000
0,1,0,9200000,30700000,10,455,0,65000000
1,0,0,7800000,24900000,6,500,0,46300000
1,0,1,4000000,9400000,8,509,0,21400000
2,0,1,6100000,19400000,8,379,0,34500000
5,1,0,7100000,14500000,14,664,1,43100000
0,0,1,2500000,9900000,6,623,1,15800000
5,1,0,3200000,8700000,16,558,1,16000000
4,1,0,1700000,4300000,18,580,1,12200000
4,1,0,6300000,17600000,6,612,1,46000000
4,1,1,700000,2400000,14,705,1,2800000
4,1,1,1100000,2700000,18,301,0,9200000
1,0,1,8900000,32000000,16,711,1,32800000
3,1,0,300000,700000,20,735,1,2400000
1,0,0,2200000,5200000,14,682,1,11100000
3,0,0,3400000,13500000,10,348,0,24500000
0,1,1,7900000,23500000,20,750,1,57300000
3,0,1,5800000,18200000,16,835,1,29600000
0,1,1,9400000,20000000,6,389,0,52700000
2,1,0,4800000,18900000,4,866,1,36000000
3,0,0,7600000,26600000,4,689,1,38800000
0,0,0,5900000,17600000,16,645,1,48100000
1,1,1,4300000,10100000,2,797,1,29900000
5,1,0,6100000,17800000,6,849,1,37700000
5,1,0,5400000,19700000,20,423,0,39500000
1,0,1,5200000,11200000,2,370,0,43200000
5,0,0,8500000,31300000,12,378,0,73700000
4,0,0,900000,1900000,20,417,0,5500000
1,0,0,1400000,4100000,20,530,0,7200000
1,0,1,2400000,9300000,20,543,0,9900000
4,1,0,6300000,15000000,18,750,1,30400000
1,1,0,3100000,7600000,20,346,0,17800000
4,1,1,6900000,19000000,14,330,0,43600000
2,0,1,3000000,7400000,10,712,1,21500000
0,0,0,3100000,10100000,14,376,0,24900000
4,0,0,600000,1200000,14,338,0,3800000
4,0,1,4700000,13700000,14,600,1,43200000
1,1,0,2500000,6900000,20,495,0,17500000
0,1,0,9700000,30400000,4,300,1,81000000
4,0,1,7600000,20000000,18,691,1,48300000
1,1,0,8400000,24700000,8,519,0,52900000
3,1,1,3800000,15100000,20,540,0,23300000
3,0,1,3100000,11400000,16,562,1,17500000
2,0,0,5700000,21300000,10,323,0,34100000
1,1,1,5500000,19700000,10,312,0,40400000
1,0,1,200000,600000,2,511,1,1600000
3,0,1,3700000,13800000,10,621,1,22000000
2,0,1,1600000,4300000,20,512,0,12900000
4,1,0,3900000,11000000,2,786,1,22300000
3,0,1,700000,1600000,18,303,0,3700000
3,1,1,5800000,16700000,18,633,1,34900000
4,1,1,3800000,14000000,6,711,1,34400000
2,1,0,6400000,16900000,16,472,0,37900000
1,1,1,5500000,12100000,4,350,0,39600000
1,0,1,6800000,13700000,10,879,1,31900000
4,0,0,6700000,13400000,10,436,0,35500000
1,1,1,5300000,11500000,14,848,1,25300000
2,1,0,6600000,23200000,16,555,1,43000000
2,1,0,6600000,13100000,20,885,1,42000000
0,0,0,7600000,25200000,6,888,1,55600000
4,0,1,2500000,6100000,20,478,0,19400000
4,0,0,1100000,2500000,4,603,1,7700000
1,0,0,2300000,8200000,8,784,1,10700000
1,1,1,3300000,11700000,4,682,1,22900000
4,1,1,2600000,5900000,6,471,0,16100000
4,0,1,9300000,36700000,20,808,1,64800000
4,0,0,5300000,18500000,8,470,0,32000000
2,0,0,5400000,13800000,20,574,1,24700000
4,0,1,3500000,12000000,8,314,0,23100000
